Time 			w 	# served   total in system (q)129.30252845513698   	2	   1		3
270.85263755983254   	0	   1		1
307.1548268336976   	3	   1		4
376.65207796802196   	5	   1		6
837.5184317628559   	0	   1		1
1693.2243102453544   	10	   1		11
2091.299440725986   	4	   1		5
2145.6635400841337   	4	   1		5
2181.516368846218   	5	   1		6
2639.6009844036034   	7	   1		8
2739.1325950961073   	6	   1		7
3252.9322627035626   	3	   1		4
3290.6578650615406   	2	   1		3
3578.8104803940305   	4	   1		5
3636.5413517583083   	3	   1		4
4032.337863015285   	0	   1		1
4932.996999473268   	5	   1		6
5196.757641801594   	4	   1		5
5872.104726007691   	0	   1		1
6005.352729083023   	2	   1		3
6517.575659858915   	0	   1		1
6788.902908271732   	8	   1		9
6911.924267337629   	6	   1		7
6919.714502618572   	7	   1		8
6947.084404182374   	7	   1		8
7156.78139218506   	5	   1		6
7398.160076514596   	10	   1		11
7507.827130671585   	11	   1		12
8033.749890886349   	12	   1		13
8783.885291336972   	7	   1		8
8842.118145959032   	3	   1		4
9057.781715692789   	0	   0		0
9224.478081684154   	2	   1		3
9454.400917340485   	1	   1		2
9517.59562796797   	0	   1		1
9533.730379316114   	1	   1		2
9877.18484679253   	3	   1		4
9996.094694656318   	5	   1		6
10001.499635716607   	5	   1		6
10119.720225929963   	4	   1		5
10290.5834235785   	6	   1		7
10359.131341821707   	8	   1		9
10413.860117261396   	8	   1		9
10451.235420452846   	9	   1		10
11313.696480019105   	9	   1		10
11540.053863200626   	11	   1		12
11636.936720263437   	8	   1		9
11778.63835294859   	6	   1		7
12011.210936880845   	6	   1		7
12266.013433205206   	13	   1		14
12884.324151751065   	9	   1		10
13080.35216366791   	3	   1		4
13310.179705001528   	4	   1		5
13959.312035791223   	5	   1		6
13983.583867157799   	5	   1		6
14360.616046333234   	0	   1		1
14445.078325495851   	1	   1		2
14811.768971570016   	0	   0		0
15340.057171234492   	0	   0		0
15711.670937205658   	0	   1		1
15892.338419709675   	1	   1		2
16082.027710641903   	2	   1		3
16596.279419524286   	2	   1		3
16716.767226465774   	4	   1		5
16796.74829016337   	4	   1		5
16818.754532838204   	2	   1		3
16882.108284604066   	7	   1		8
17146.13717652557   	5	   1		6
17205.054544278675   	5	   1		6
17867.405536515   	1	   1		2
18019.85074262882   	3	   1		4
18340.440950609078   	0	   1		1
18411.329995292366   	2	   1		3
18766.846000779682   	4	   1		5
19120.183555689706   	8	   1		9
19340.751978509896   	4	   1		5
19612.219759256302   	4	   1		5
20075.192501466277   	3	   1		4
20346.813946468505   	3	   1		4
20796.96265817824   	3	   1		4
21656.420292197763   	0	   0		0
21687.361581899295   	2	   1		3
21895.546554326615   	2	   1		3
22509.24480041256   	2	   1		3
22884.55254606106   	4	   1		5
22925.662973249862   	3	   1		4
23575.387198515822   	17	   1		18
23604.704490199412   	18	   1		19
24049.86656243907   	10	   1		11
24405.570818281052   	5	   1		6
24588.348034844184   	4	   1		5
25111.761030074067   	10	   1		11
25169.891892624677   	11	   1		12
25625.86212703883   	10	   1		11
25925.594766604274   	8	   1		9
26020.08995478033   	10	   1		11
26150.896219881935   	7	   1		8
26251.44073063668   	5	   1		6
27723.90745269256   	9	   1		10
28039.15386884092   	10	   1		11
28244.377458088202   	12	   1		13
28543.258579969595   	13	   1		14
29149.213635472064   	13	   1		14
29464.64099735556   	5	   1		6
29858.650576096417   	10	   1		11
30040.267616710054   	11	   1		12
30717.95240372558   	0	   1		1
30790.69661691499   	0	   0		0
31889.94346083073   	1	   1		2
32081.403579750993   	1	   1		2
32309.06723793576   	5	   1		6
32414.205608661112   	3	   1		4
32576.787070212482   	1	   1		2
32730.0185450158   	6	   1		7
33310.516250877175   	3	   1		4
33345.24460133827   	4	   1		5
33368.27202829386   	4	   1		5
33378.592324982455   	4	   1		5
33574.342058983915   	6	   1		7
33624.8821539902   	6	   1		7
33922.56685815158   	4	   1		5
34775.24039547249   	2	   1		3
35458.46253651678   	8	   1		9
35568.32102430322   	3	   1		4
36049.48657107822   	12	   1		13
37001.771838981054   	18	   1		19
37778.22176324228   	22	   1		23
38148.83715547494   	16	   1		17
38773.683947311394   	21	   1		22
38869.64218911338   	25	   1		26
39082.49625840858   	20	   1		21
39219.32543797814   	17	   1		18
40700.59733550665   	9	   1		10
40971.606308643335   	3	   1		4
41022.52466809772   	3	   1		4
41041.98255011603   	2	   1		3
41043.23960038262   	2	   1		3
41248.859835221825   	2	   1		3
41449.356903932596   	2	   1		3
41761.28594743468   	2	   1		3
42025.03681743896   	5	   1		6
42358.864773642104   	5	   1		6
42669.41621851379   	8	   1		9
42752.54487329599   	12	   1		13
42760.126593873036   	11	   1		12
43199.797497740044   	9	   1		10
43280.4913865625   	11	   1		12
43863.071956519525   	8	   1		9
43873.36642525361   	7	   1		8
44741.565335072446   	16	   1		17
44807.05498269617   	14	   1		15
45201.44988065013   	20	   1		21
45267.6722552546   	18	   1		19
45611.450293310234   	22	   1		23
46005.651315488874   	24	   1		25
46137.97621182095   	25	   1		26
46409.532504801275   	18	   1		19
46538.73845678001   	16	   1		17
46565.08160781497   	17	   1		18
46591.33097740875   	17	   1		18
47124.0210124479   	12	   1		13
47167.83148207938   	12	   1		13
47453.560013885246   	18	   1		19
47838.54111700508   	17	   1		18
47896.60100971302   	17	   1		18
48256.062989151505   	18	   1		19
48283.31557807903   	15	   1		16
48477.24825389108   	20	   1		21
49126.29815806195   	21	   1		22
49393.35066617608   	16	   1		17
49502.06047191888   	17	   1		18
49774.5146469993   	19	   1		20
49996.34394153618   	17	   1		18
